,Product Reviewed,Sentence,Score
10,Acrylic Paint Set,Half of the colors are dry. I did not realized it after the return policy expired. Very disappointed.,"[('Total function words', 0.35958968527664015), ('Prepositions', 0.1111111111111111), ('Present focus', 0.05555555555555555), ('First pers singular', 0.05555555555555555), ('Past focus', 0.05555555555555555), ('Negations', 0.05555555555555555), ('Comparisons', 0.05555555555555555), ('Time', 0.05555555555555555)]"
11,Acrylic Paint Set,"24 small tubes (12ml, or .4 ounces) of a wide variety of colors. I am just trying to get back into some creative projects, and I thought I would refresh my stash of paint. If I knew I would be getting into bigger projects, I would buy larger containers. When I saw that this was a set of small tubes, I thought it would be perfect for me as I didn't want to any to go to waste. It is enough to start dabbling again without spending a lot of money to buy larger amounts. Comes with 3 basic paint brushes, too. All of the tubes in my package look good. I pressed all of them, and they feel soft. I opened up half dozen, and those were all fine. Hopefully remainder are good. I think this is a nice kit to have if you want to dabble, or as an add on to a themed gift.","[('Total function words', 0.36942761724950995), ('Quantifiers', 0.012738853503184714), ('Prepositions', 0.04712600402783374), ('First pers singular', 0.08280254777070063), ('Auxiliary verbs', 0.012738853503184714), ('Space', 0.01910828025477707), ('Conjunctions', 0.03184713375796178), ('Insight', 0.01910828025477707), ('Discrepancy', 0.025477707006369428), ('Comparisons', 0.01910828025477707), ('Interrogatives', 0.006369426751592357), ('See', 0.006369426751592357), ('Causation', 0.006369426751592357), ('Motion', 0.006369426751592357), ('Present focus', 0.01910828025477707), ('Social processes', 0.006369426751592357), ('Common verbs', 0.004112816280312351), ('Perceptual processes', 0.006369426751592357), ('Positive emotion', 0.01910828025477707), ('Total pronouns', 0.008329725576610015), ('Third pers plural', 0.006369426751592357), ('Impersonal pronouns', 0.006369426751592357), ('Second person', 0.006369426751592357), ('Articles', 0.006369426751592357)]"
12,Gatorade Thirst Quencher,"There is nothing classic about this vile wretched drink. I purchased these hoping to recapture the classic refreshing, revitalizing, experience from my athletic Highschool days. I am beside myself on the lack of transparency in the advertisement (no mention of small bottles in the title) and i find it misleading to call this product classic. It is clearly smaller than the standard classic gatorade and the flavor is something I would not wish on my worst enemy. This is nothing less than an atrocity.","[('Total function words', 0.36890239674963243), ('Present focus', 0.047619047619047616), ('First pers singular', 0.047619047619047616), ('Impersonal pronouns', 0.011904761904761904), ('Prepositions', 0.07142857142857142), ('Time', 0.011904761904761904), ('Auxiliary verbs', 0.011904761904761904), ('Total pronouns', 0.011904761904761904), ('Space', 0.023809523809523808), ('Past focus', 0.011904761904761904), ('Quantifiers', 0.011904761904761904), ('Conjunctions', 0.023809523809523808), ('Third pers plural', 0.023809523809523808), ('Discrepancy', 0.011904761904761904), ('Negations', 0.011904761904761904), ('Articles', 0.011904761904761904)]"
13,Gatorade Thirst Quencher,"I depend on this drink to keep me hydrated and my body systems in balance. Since I am diabetic, this is a low-calorie, tasty way to keep me going. And this is my most favorite Gatorade flavor","[('First pers singular', 0.10810810810810811), ('Total function words', 0.34950421950462135), ('Conjunctions', 0.05405405405405406), ('Space', 0.02702702702702703), ('Past focus', 0.02702702702702703), ('Auxiliary verbs', 0.02702702702702703), ('Present focus', 0.05405405405405406), ('Prepositions', 0.02702702702702703), ('Motion', 0.02702702702702703)]"
14,180s Fleece Behind-the-Head Earmuffs,Maybe I’m just not that sharp but I expected men’s Bluetooth earmuffs would have speakers in them and connect to my phone. They’re just earmuffs. They’re nice and comfortable but I could have gotten just earmuffs for less than half of the price of these.,"[('Tentative', 0.022222222222222223), ('Total function words', 0.3070063152760113), ('Negations', 0.022222222222222223), ('Conjunctions', 0.08888888888888889), ('First pers singular', 0.06666666666666667), ('Discrepancy', 0.044444444444444446), ('Auxiliary verbs', 0.044444444444444446), ('Space', 0.022222222222222223), ('Total pronouns', 0.022222222222222223), ('Positive emotion', 0.022222222222222223), ('Causation', 0.022222222222222223), ('Third pers plural', 0.022222222222222223), ('Prepositions', 0.022222222222222223), ('Impersonal pronouns', 0.022222222222222223)]"
15,180s Fleece Behind-the-Head Earmuffs,"I bought a pair of these in D,C, in November from a street vendor. For a south Texan, D.C. in November was unbearable; it was cold with incessant wind and little sunshine. After I purchased these from the Pentagon City metro stop vendor, my last week in the Capital City was more than bearable. I spent hours on the Mall going from Smithsonian to Smithsonian. I spent hours in Arlington Cemetery as well as walking around Georgetown and the canal district. They are easy to don, although it takes both hands to put on. Doffing these ear muffs is even easier: use one hand to pull back the 'yoke' at the back of your head, fold them using the inherent twist and collapse feature with one hand, and they easily fit in a winter coat pocket without too much bulk. Combine these behind the head muffs with a tight weave winter cap and touch screen winter gloves, and you'll stay as warm as possible without feeling like Randy from 'A Christmas Story' These have been such a great addition to my Winter wardrobe, even in South Texas. that I stuffed them in stockings for my family, albeit after the holiday season. You won't be disappointed. And, as an added bonus for all your gotta-keep-my-coiffure-perfect friends and family members, these muffs sit on the ears, but the suspension rides on the occipital bone. If the temperatures are pleasant enough, you won't muss your hair. But the temperatures require a stocking cap, ymmv, Highly recommended.","[('First pers singular', 0.019762845849802372), ('Total function words', 0.283445884014915), ('Prepositions', 0.10077848450958396), ('Impersonal pronouns', 0.02766798418972332), ('Space', 0.03162055335968379), ('Causation', 0.011857707509881422), ('Conjunctions', 0.05138339920948617), ('Quantifiers', 0.007905138339920948), ('Comparisons', 0.015810276679841896), ('Third pers plural', 0.011857707509881422), ('Motion', 0.003952569169960474), ('Death', 0.003952569169960474), ('Present focus', 0.011857707509881422), ('Reward', 0.00276377955003522), ('Third pers singular', 0.003952569169960474), ('Body', 0.011857707509881422), ('Time', 0.011857707509881422), ('First pers plural', 0.0034063949830501644), ('Second person', 0.019762845849802372), ('Total pronouns', 0.007905138339920948), ('Feel', 0.003952569169960474), ('Auxiliary verbs', 0.003952569169960474), ('Articles', 0.003952569169960474), ('Assent', 0.0017917894778856226), ('Affiliation', 0.003952569169960474), ('Positive emotion', 0.003952569169960474)]"
16,Echo Plus (2nd Gen) with Philips Hue Bulb,"I bought the new echo plus during the black Friday sale this weekend to make use of the Line In feature which I was disappointed that my second generation echo I purchased last year didnt have. I was so excited to see that this changed this year with the new generation... EXCEPT it doest work!! The alexa software that you need to configure it as a 'line in' and not a 'line out' doesnt function, and according to the tech that assisted me, this has been a common problem with the device. I bought it for this reason, as advertised by amazon, and it doest work. The options I were given by the tech was essentially to wait and hope it gets fixed in the future, return it and lose out on the black friday deal if it is fixed in the future and wanted to buy it again at that time once it is, or wait and waste $109 dollars if it isnt fixed in the future once I pass the return window. All for an issue that is 100% AMAZON'S FAULT!! FALSE ADVERTISING and HORRIBLE CUSTOMER SERVICE like I have never experience before from amazon from a problem THEY inflicted and CAN remedy if they choose too! I asked for an extended return window, if they can honor the black friday price if I was to return it and buy it again in the future, and a refund/discount on the product due to it essentially being defective for my purposes, and each request was flat out REJECTED. When I asked to speak to someone else, that wasNOT PERMITTED either. SHAME ON YOU AMAZON, SHAME!!!","[('First pers singular', 0.043478260869565216), ('Total function words', 0.3925471264735436), ('Prepositions', 0.0920245747549634), ('Interrogatives', 0.007246376811594203), ('First pers plural', 0.0016913165987308668), ('Space', 0.021739130434782608), ('Articles', 0.010869565217391304), ('Numbers', 0.0036231884057971015), ('Auxiliary verbs', 0.010869565217391304), ('Conjunctions', 0.06521739130434782), ('Second person', 0.007246376811594203), ('Negations', 0.007246376811594203), ('Assent', 0.001453907182975311), ('Causation', 0.014492753623188406), ('Cognitive processes', 0.0036231884057971015), ('Present focus', 0.010869565217391304), ('Past focus', 0.0036231884057971015), ('Third pers plural', 0.010869565217391304), ('Impersonal pronouns', 0.0036231884057971015)]"
17,Echo Plus (2nd Gen) with Philips Hue Bulb ,"Short & Sweet - For what it is, this device is amazing. Performance is quick, audio is great, and the built-in Zigbee hub works quite well.","[('Total function words', 0.28017566563357466), ('Positive emotion', 0.038461538461538464), ('Causation', 0.038461538461538464), ('Interrogatives', 0.038461538461538464), ('Present focus', 0.15384615384615385), ('Conjunctions', 0.038461538461538464), ('Prepositions', 0.038461538461538464), ('Comparisons', 0.038461538461538464)]"
18,adidas Women's Grand Court Sneaker,I used to love classic adidas shoes but these HURT my heel! The back goes up so high it drills into my skin when I walk.,"[('First pers singular', 0.07692307692307693), ('First pers plural', 0.017067063279540388), ('Total function words', 0.2760531864455037), ('Positive emotion', 0.038461538461538464), ('Conjunctions', 0.07692307692307693), ('Impersonal pronouns', 0.038461538461538464), ('Negative emotion', 0.038461538461538464), ('Prepositions', 0.038461538461538464), ('Motion', 0.027951054765315533), ('Space', 0.038461538461538464), ('Interrogatives', 0.038461538461538464)]"
19,adidas Women's Grand Court Sneaker,Great running shoe right out of the box! Highly recommended it......love this shoe. I run 40-50 miles a week.,"[('Total function words', 0.4150659539157915), ('Prepositions', 0.10526315789473684), ('First pers singular', 0.05263157894736842), ('Numbers', 0.05263157894736842)]"
